"party","modeldate","yes_estimate"
"ind",2020-02-12,45.486034
"rep",2020-02-12,12.400982
"dem",2020-02-12,84.388276
"dem",2020-02-11,84.388276
"ind",2020-02-11,45.486034
"rep",2020-02-11,12.400982
"dem",2020-02-10,85.171166
"ind",2020-02-10,46.486982
"rep",2020-02-10,11.152962
"rep",2020-02-09,11.152962
"dem",2020-02-09,85.171166
"ind",2020-02-09,46.486982
"ind",2020-02-08,43.250805
"rep",2020-02-08,12.596332
"dem",2020-02-08,84.058467
"ind",2020-02-07,43.250805
"dem",2020-02-07,84.058467
"rep",2020-02-07,12.596332
"dem",2020-02-06,84.058467
"rep",2020-02-06,12.596332
"ind",2020-02-06,43.250805
"rep",2020-02-05,12.596332
"ind",2020-02-05,43.250805
"dem",2020-02-05,84.058467
"rep",2020-02-04,13.02815
"ind",2020-02-04,44.948216
"dem",2020-02-04,86.003725
"rep",2020-02-03,13.02815
"ind",2020-02-03,44.948216
"dem",2020-02-03,86.003725
"rep",2020-02-02,13.02815
"ind",2020-02-02,44.948216
"dem",2020-02-02,86.003725
"rep",2020-02-01,13.02815
"ind",2020-02-01,44.948216
"dem",2020-02-01,86.003725
"dem",2020-01-31,86.022594
"ind",2020-01-31,44.858269
"rep",2020-01-31,12.597327
"rep",2020-01-30,12.597327
"ind",2020-01-30,44.858269
"dem",2020-01-30,86.022594
"rep",2020-01-29,12.597327
"ind",2020-01-29,44.858269
"dem",2020-01-29,86.022594
"rep",2020-01-28,12.421853
"ind",2020-01-28,45.497263
"dem",2020-01-28,86.875301
"rep",2020-01-27,11.459706
"ind",2020-01-27,46.509492
"dem",2020-01-27,88.028561
"rep",2020-01-26,11.459706
"dem",2020-01-26,88.028561
"ind",2020-01-26,46.509492
"ind",2020-01-25,46.509492
"rep",2020-01-25,11.459706
"dem",2020-01-25,88.028561
"rep",2020-01-24,11.459706
"ind",2020-01-24,46.509492
"dem",2020-01-24,88.028561
"rep",2020-01-23,10.794039
"ind",2020-01-23,47.152956
"dem",2020-01-23,86.961341
"rep",2020-01-22,10.794039
"ind",2020-01-22,47.152956
"dem",2020-01-22,86.961341
"ind",2020-01-21,48.457488
"rep",2020-01-21,11.134228
"dem",2020-01-21,87.709612
"ind",2020-01-20,47.740969
"rep",2020-01-20,12.583661
"dem",2020-01-20,86.274524
"rep",2020-01-19,12.583661
"dem",2020-01-19,86.274524
"ind",2020-01-19,47.740969
"dem",2020-01-18,86.274524
"rep",2020-01-18,12.583661
"ind",2020-01-18,47.740969
"dem",2020-01-17,86.274524
"ind",2020-01-17,47.740969
"rep",2020-01-17,12.583661
"rep",2020-01-16,12.583661
"ind",2020-01-16,47.740969
"dem",2020-01-16,86.274524
"rep",2020-01-15,12.583661
"ind",2020-01-15,47.740969
"dem",2020-01-15,86.274524
"rep",2020-01-14,12.925367
"dem",2020-01-14,86.289581
"ind",2020-01-14,50.296077
"rep",2020-01-13,12.925367
"ind",2020-01-13,50.296077
"dem",2020-01-13,86.289581
"ind",2020-01-12,50.296077
"rep",2020-01-12,12.925367
"dem",2020-01-12,86.289581
"dem",2020-01-11,83.680921
"ind",2020-01-11,46.904149
"rep",2020-01-11,14.589094
"rep",2020-01-10,14.589094
"ind",2020-01-10,46.904149
"dem",2020-01-10,83.680921
"rep",2020-01-09,14.589094
"ind",2020-01-09,46.904149
"dem",2020-01-09,83.680921
"rep",2020-01-08,14.589094
"ind",2020-01-08,46.904149
"dem",2020-01-08,83.680921
"dem",2020-01-07,83.923871
"rep",2020-01-07,15.110972
"ind",2020-01-07,47.036334
"ind",2020-01-06,47.036334
"dem",2020-01-06,83.923871
"rep",2020-01-06,15.110972
"ind",2020-01-05,47.036334
"rep",2020-01-05,15.110972
"dem",2020-01-05,83.923871
"ind",2020-01-04,45.601118
"rep",2020-01-04,14.883049
"dem",2020-01-04,83.365446
"rep",2020-01-03,14.883049
"ind",2020-01-03,45.601118
"dem",2020-01-03,83.365446
"dem",2020-01-02,83.365446
"rep",2020-01-02,14.883049
"ind",2020-01-02,45.601118
"ind",2020-01-01,43.739872
"dem",2020-01-01,82.493589
"rep",2020-01-01,11.339367
"ind",2019-12-31,43.739872
"dem",2019-12-31,82.493589
"rep",2019-12-31,11.339367
"dem",2019-12-30,82.41818
"rep",2019-12-30,11.105003
"ind",2019-12-30,44.372834
"ind",2019-12-29,44.372834
"rep",2019-12-29,11.105003
"dem",2019-12-29,82.41818
"ind",2019-12-28,44.372834
"rep",2019-12-28,11.105003
"dem",2019-12-28,82.41818
"ind",2019-12-27,44.372834
"rep",2019-12-27,11.105003
"dem",2019-12-27,82.41818
"dem",2019-12-26,82.41818
