"modeldate","party","yes_estimate"
2019-06-29 12:00:00,"rep",7
2019-06-29 12:00:00,"dem",61
2019-06-29 12:00:00,"ind",37
2019-04-23 12:00:00,"rep",10
2019-04-23 12:00:00,"dem",62
2019-04-23 12:00:00,"ind",36
2019-06-10 00:00:00,"rep",5
2019-06-10 00:00:00,"dem",77
2019-06-10 00:00:00,"ind",41
2019-05-29 12:00:00,"rep",6
2019-05-29 12:00:00,"dem",76
2019-05-29 12:00:00,"ind",35
2019-04-26 12:00:00,"rep",7
2019-04-26 12:00:00,"dem",69
2019-04-26 12:00:00,"ind",30
2019-03-15 12:00:00,"rep",4
2019-03-15 12:00:00,"dem",68
2019-03-15 12:00:00,"ind",33
2019-07-22 00:00:00,"rep",8
2019-07-22 00:00:00,"dem",74
2019-07-22 00:00:00,"ind",36
2019-06-10 12:00:00,"rep",10
2019-06-10 12:00:00,"dem",74
2019-06-10 12:00:00,"ind",40
2019-05-12 12:00:00,"rep",9
2019-05-12 12:00:00,"dem",72
2019-05-12 12:00:00,"ind",33
2019-09-22 12:00:00,"rep",18
2019-09-22 12:00:00,"dem",73
2019-09-22 12:00:00,"ind",38
2019-09-15 12:00:00,"rep",16
2019-09-15 12:00:00,"dem",76
2019-09-15 12:00:00,"ind",35
2019-09-08 12:00:00,"rep",11
2019-09-08 12:00:00,"dem",73
2019-09-08 12:00:00,"ind",35
2019-09-01 12:00:00,"rep",8
2019-09-01 12:00:00,"dem",77
2019-09-01 12:00:00,"ind",41
2019-08-25 12:00:00,"rep",13
2019-08-25 12:00:00,"dem",73
2019-08-25 12:00:00,"ind",42
2019-08-18 12:00:00,"rep",15
2019-08-18 12:00:00,"dem",72
2019-08-18 12:00:00,"ind",34
2019-08-11 12:00:00,"rep",13
2019-08-11 12:00:00,"dem",73
2019-08-11 12:00:00,"ind",40
2019-08-04 12:00:00,"rep",16
2019-08-04 12:00:00,"dem",76
2019-08-04 12:00:00,"ind",41
2019-07-28 12:00:00,"rep",17
2019-07-28 12:00:00,"dem",71
2019-07-28 12:00:00,"ind",35
2019-07-14 12:00:00,"rep",12
2019-07-14 12:00:00,"dem",69
2019-07-14 12:00:00,"ind",39
2019-07-07 12:00:00,"rep",12
2019-07-07 12:00:00,"dem",70
2019-07-07 12:00:00,"ind",39
2019-06-30 12:00:00,"rep",11
2019-06-30 12:00:00,"dem",71
2019-06-30 12:00:00,"ind",43
2019-06-23 12:00:00,"rep",12
2019-06-23 12:00:00,"dem",75
2019-06-23 12:00:00,"ind",39
2019-06-16 12:00:00,"rep",11
2019-06-16 12:00:00,"dem",71
2019-06-16 12:00:00,"ind",36
2019-06-09 12:00:00,"rep",12
2019-06-09 12:00:00,"dem",75
2019-06-09 12:00:00,"ind",43
2019-06-02 12:00:00,"rep",12
2019-06-02 12:00:00,"dem",72
2019-06-02 12:00:00,"ind",40
2019-05-30 12:00:00,"rep",14
2019-05-30 12:00:00,"dem",74
2019-05-30 12:00:00,"ind",40
2019-05-22 12:00:00,"rep",13
2019-05-22 12:00:00,"dem",64
2019-05-22 12:00:00,"ind",36
2019-05-03 12:00:00,"rep",10
2019-05-03 12:00:00,"dem",71
2019-05-03 12:00:00,"ind",37
2019-04-21 12:00:00,"rep",11
2019-04-21 12:00:00,"dem",70
2019-04-21 12:00:00,"ind",37
2019-04-18 12:00:00,"rep",10
2019-04-18 12:00:00,"dem",70
2019-04-18 12:00:00,"ind",43
2019-03-28 12:00:00,"rep",9
2019-03-28 12:00:00,"dem",70
2019-03-28 12:00:00,"ind",29
2019-03-24 12:00:00,"rep",13
2019-03-24 12:00:00,"dem",73
2019-03-24 12:00:00,"ind",34
2019-09-23 12:00:00,"rep",10
2019-09-23 12:00:00,"dem",69
2019-09-23 12:00:00,"ind",32
2019-05-06 12:00:00,"rep",17
2019-05-06 12:00:00,"dem",73
2019-05-06 12:00:00,"ind",43
2019-04-18 12:00:00,"rep",16
2019-04-18 12:00:00,"dem",67
2019-04-18 12:00:00,"ind",36
2019-08-18 00:00:00,"rep",2
2019-08-18 00:00:00,"dem",69
2019-08-18 00:00:00,"ind",30
2019-06-14 12:00:00,"rep",4
2019-06-14 12:00:00,"dem",63
2019-06-14 12:00:00,"ind",30
2019-05-18 00:00:00,"rep",10
2019-05-18 00:00:00,"dem",74
2019-05-18 00:00:00,"ind",30
2019-03-02 12:00:00,"rep",8
2019-03-02 12:00:00,"dem",75
2019-03-02 12:00:00,"ind",40
2019-09-25 00:00:00,"rep",10
2019-09-25 00:00:00,"dem",79
2019-09-25 00:00:00,"ind",39
2019-09-21 00:00:00,"rep",5
2019-09-21 00:00:00,"dem",66
2019-09-21 00:00:00,"ind",33
2019-09-14 00:00:00,"rep",6
2019-09-14 00:00:00,"dem",70
2019-09-14 00:00:00,"ind",31
2019-09-07 12:00:00,"rep",6
2019-09-07 12:00:00,"dem",65
2019-09-07 12:00:00,"ind",32
2019-08-17 00:00:00,"rep",6
2019-08-17 00:00:00,"dem",67
2019-08-17 00:00:00,"ind",34
2019-08-02 00:00:00,"rep",6
2019-08-02 00:00:00,"dem",70
2019-08-02 00:00:00,"ind",32
2019-07-25 00:00:00,"rep",6
2019-07-25 00:00:00,"dem",64
2019-07-25 00:00:00,"ind",34
2019-07-20 00:00:00,"rep",8
2019-07-20 00:00:00,"dem",65
2019-07-20 00:00:00,"ind",36
2019-06-30 00:00:00,"rep",6
2019-06-30 00:00:00,"dem",63
2019-06-30 00:00:00,"ind",32
2019-06-22 12:00:00,"rep",7
